[2025-07-14 16:41:53,382][__main__][INFO] - Train
[2025-07-14 19:21:13,839][__main__][INFO] - loss: 7.8161, loss_tr: 2.1685, loss_up: 1.9111, loss_right: 2.2067, loss_up_aux: 0.5677, loss_right_aux: 0.6320, loss_scale: 0.0055
[2025-07-14 19:23:15,731][__main__][INFO] - loss: 7.8946, loss_tr: 2.1860, loss_up: 1.9262, loss_right: 2.2223, loss_up_aux: 0.5703, loss_right_aux: 0.6344, loss_scale: 0.0059
[2025-07-14 19:25:16,728][__main__][INFO] - loss: 7.8623, loss_tr: 2.1738, loss_up: 1.9235, loss_right: 2.2228, loss_up_aux: 0.5661, loss_right_aux: 0.6353, loss_scale: 0.0057
[2025-07-14 19:27:21,637][__main__][INFO] - loss: 7.8219, loss_tr: 2.1701, loss_up: 1.9127, loss_right: 2.2055, loss_up_aux: 0.5647, loss_right_aux: 0.6333, loss_scale: 0.0056
[2025-07-14 19:29:28,296][__main__][INFO] - loss: 7.8632, loss_tr: 2.1796, loss_up: 1.9212, loss_right: 2.2192, loss_up_aux: 0.5657, loss_right_aux: 0.6329, loss_scale: 0.0057
[2025-07-14 19:31:29,503][__main__][INFO] - loss: 7.8525, loss_tr: 2.1730, loss_up: 1.9208, loss_right: 2.2199, loss_up_aux: 0.5680, loss_right_aux: 0.6331, loss_scale: 0.0056
[2025-07-14 19:33:29,983][__main__][INFO] - loss: 7.8457, loss_tr: 2.1734, loss_up: 1.9263, loss_right: 2.2240, loss_up_aux: 0.5663, loss_right_aux: 0.6328, loss_scale: 0.0054
[2025-07-14 19:35:34,827][__main__][INFO] - loss: 7.8199, loss_tr: 2.1685, loss_up: 1.9195, loss_right: 2.2128, loss_up_aux: 0.5680, loss_right_aux: 0.6313, loss_scale: 0.0053
[2025-07-14 19:37:41,498][__main__][INFO] - loss: 7.8212, loss_tr: 2.1626, loss_up: 1.9156, loss_right: 2.2133, loss_up_aux: 0.5637, loss_right_aux: 0.6306, loss_scale: 0.0056
[2025-07-14 19:39:51,835][__main__][INFO] - loss: 7.8587, loss_tr: 2.1788, loss_up: 1.9233, loss_right: 2.2251, loss_up_aux: 0.5660, loss_right_aux: 0.6328, loss_scale: 0.0055
[2025-07-14 19:42:01,836][__main__][INFO] - loss: 7.8171, loss_tr: 2.1662, loss_up: 1.9187, loss_right: 2.2108, loss_up_aux: 0.5654, loss_right_aux: 0.6314, loss_scale: 0.0054
[2025-07-14 19:44:07,408][__main__][INFO] - loss: 7.8144, loss_tr: 2.1718, loss_up: 1.9185, loss_right: 2.2132, loss_up_aux: 0.5616, loss_right_aux: 0.6301, loss_scale: 0.0053
[2025-07-14 19:46:15,059][__main__][INFO] - loss: 7.8554, loss_tr: 2.1645, loss_up: 1.9282, loss_right: 2.2258, loss_up_aux: 0.5671, loss_right_aux: 0.6332, loss_scale: 0.0056
[2025-07-14 19:48:21,875][__main__][INFO] - loss: 7.8174, loss_tr: 2.1669, loss_up: 1.9129, loss_right: 2.2123, loss_up_aux: 0.5648, loss_right_aux: 0.6311, loss_scale: 0.0055
[2025-07-14 19:50:29,603][__main__][INFO] - loss: 7.8134, loss_tr: 2.1700, loss_up: 1.9120, loss_right: 2.2075, loss_up_aux: 0.5642, loss_right_aux: 0.6304, loss_scale: 0.0055
[2025-07-14 19:52:39,556][__main__][INFO] - loss: 7.8329, loss_tr: 2.1782, loss_up: 1.9148, loss_right: 2.2080, loss_up_aux: 0.5633, loss_right_aux: 0.6299, loss_scale: 0.0056
[2025-07-14 19:54:48,287][__main__][INFO] - loss: 7.8436, loss_tr: 2.1704, loss_up: 1.9126, loss_right: 2.2093, loss_up_aux: 0.5633, loss_right_aux: 0.6305, loss_scale: 0.0060
[2025-07-14 19:56:52,495][__main__][INFO] - loss: 7.7774, loss_tr: 2.1631, loss_up: 1.9074, loss_right: 2.2013, loss_up_aux: 0.5627, loss_right_aux: 0.6287, loss_scale: 0.0052
[2025-07-14 19:58:55,261][__main__][INFO] - loss: 7.7828, loss_tr: 2.1598, loss_up: 1.9072, loss_right: 2.2024, loss_up_aux: 0.5616, loss_right_aux: 0.6296, loss_scale: 0.0054
